date,symbol,name,market,margin_buy,margin_sell,margin_balance,margin_change,short_sell,short_cover,short_balance,short_change,offsetting,source
2026-03-06,00679B,元大美債20年,otc,5,77,6282,-90,0,0,0,0,0,TPEx
2026-03-06,00687B,國泰20年美債,otc,3,221,10498,-358,1,0,1,1,0,TPEx
2026-03-06,00694B,富邦美債1-3,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-03-06,00695B,富邦美債7-10,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-03-06,00696B,富邦美債20年,otc,0,0,191,0,0,0,0,0,0,TPEx
2026-03-06,00697B,元大美債7-10,otc,0,0,5,0,0,0,0,0,0,TPEx
2026-03-06,00719B,元大美債1-3,otc,0,0,77,0,0,0,0,0,0,TPEx
2026-03-06,00720B,元大投資級公司債,otc,0,0,3098,0,0,15,5,-15,6,TPEx
2026-03-06,00722B,群益投資級電信債,otc,1,0,110,1,0,0,0,0,0,TPEx
2026-03-06,00723B,群益投資級科技債,otc,0,0,114,0,0,0,0,0,0,TPEx
2026-03-06,00724B,群益投資級金融債,otc,0,0,35,0,0,0,0,0,0,TPEx
2026-03-06,00725B,國泰投資級公司債,otc,0,2,744,-12,0,0,0,0,0,TPEx
2026-03-06,00726B,國泰新興投等債,otc,0,0,2,0,0,0,0,0,0,TPEx
2026-03-06,00727B,國泰優選非投等債,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-03-06,00734B,台新JPM新興債,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-03-06,00740B,富邦全球投等債,otc,0,0,84,0,0,0,0,0,0,TPEx
2026-03-06,00741B,富邦全球非投等債,otc,0,0,23,0,0,0,0,0,0,TPEx
2026-03-06,00746B,富邦A級公司債,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-03-06,00749B,凱基新興債10+,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-03-06,00750B,凱基科技債10+,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-03-06,00751B,元大AAA至A公司債,otc,0,0,3667,0,0,0,0,0,0,TPEx
2026-03-06,00754B,群益AAA-AA公司債,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-03-06,00755B,群益投資級公用債,otc,0,0,9,0,0,0,0,0,0,TPEx
2026-03-06,00756B,群益投等新興公債,otc,0,0,21,0,0,0,0,0,0,TPEx
2026-03-06,00758B,復華能源債,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-03-06,00759B,復華製藥債,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-03-06,00760B,復華新興企業債,otc,0,0,3,0,0,0,0,0,0,TPEx
2026-03-06,00761B,國泰A級公司債,otc,0,0,31,0,0,0,0,0,0,TPEx
2026-03-06,00764B,群益25年美債,otc,1,0,32,1,0,0,0,0,0,TPEx
2026-03-06,00768B,復華20年美債,otc,0,5,12,-5,0,0,0,0,0,TPEx
2026-03-06,00772B,中信高評級公司債,otc,17,0,2196,17,0,0,0,0,0,TPEx
2026-03-06,00773B,中信優先金融債,otc,0,0,307,0,0,0,0,0,0,TPEx
2026-03-06,00777B,凱基AAA至A公司債,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-03-06,00778B,凱基金融債20+,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-03-06,00779B,凱基美債25+,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-03-06,00780B,國泰A級金融債,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-03-06,00781B,國泰A級科技債,otc,0,0,20,0,0,0,0,0,0,TPEx
2026-03-06,00782B,國泰A級公用債,otc,0,0,25,0,0,0,0,0,0,TPEx
2026-03-06,00785B,富邦金融投等債,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-03-06,00786B,元大10年IG銀行債,otc,0,0,15,0,0,0,0,0,0,TPEx
2026-03-06,00787B,元大10年IG醫療債,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-03-06,00788B,元大10年IG電能債,otc,0,0,35,0,0,0,0,0,0,TPEx
2026-03-06,00789B,復華公司債A3,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-03-06,00791B,復華信用債1-5,otc,0,0,0,0,0,0,0,0,0,TPEx
