date,symbol,name,market,margin_buy,margin_sell,margin_balance,margin_change,short_sell,short_cover,short_balance,short_change,offsetting,source
2026-02-05,00679B,元大美債20年,otc,25,18,10548,5,0,0,49,0,0,TPEx
2026-02-05,00687B,國泰20年美債,otc,39,128,13075,-91,0,0,30,0,0,TPEx
2026-02-05,00694B,富邦美債1-3,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-02-05,00695B,富邦美債7-10,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-02-05,00696B,富邦美債20年,otc,0,0,198,0,0,0,0,0,0,TPEx
2026-02-05,00697B,元大美債7-10,otc,0,2,5,-2,0,0,0,0,0,TPEx
2026-02-05,00719B,元大美債1-3,otc,0,6,78,-6,0,0,0,0,0,TPEx
2026-02-05,00720B,元大投資級公司債,otc,0,4,3346,-4,0,0,0,0,0,TPEx
2026-02-05,00722B,群益投資級電信債,otc,0,0,114,0,0,0,0,0,0,TPEx
2026-02-05,00723B,群益投資級科技債,otc,0,0,114,0,0,0,0,0,0,TPEx
2026-02-05,00724B,群益投資級金融債,otc,0,0,38,0,0,0,0,0,0,TPEx
2026-02-05,00725B,國泰投資級公司債,otc,0,5,1037,-5,0,0,0,0,0,TPEx
2026-02-05,00726B,國泰新興投等債,otc,0,0,1,0,0,0,0,0,0,TPEx
2026-02-05,00727B,國泰優選非投等債,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-02-05,00734B,台新JPM新興債,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-02-05,00740B,富邦全球投等債,otc,0,0,101,0,0,0,0,0,0,TPEx
2026-02-05,00741B,富邦全球非投等債,otc,0,0,20,0,0,0,0,0,0,TPEx
2026-02-05,00746B,富邦A級公司債,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-02-05,00749B,凱基新興債10+,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-02-05,00750B,凱基科技債10+,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-02-05,00751B,元大AAA至A公司債,otc,0,5,3912,-5,0,0,0,0,0,TPEx
2026-02-05,00754B,群益AAA-AA公司債,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-02-05,00755B,群益投資級公用債,otc,0,0,9,0,0,0,0,0,0,TPEx
2026-02-05,00756B,群益投等新興公債,otc,0,0,21,0,0,0,0,0,0,TPEx
2026-02-05,00758B,復華能源債,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-02-05,00759B,復華製藥債,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-02-05,00760B,復華新興企業債,otc,0,0,3,0,0,0,0,0,0,TPEx
2026-02-05,00761B,國泰A級公司債,otc,0,0,31,0,0,0,0,0,0,TPEx
2026-02-05,00764B,群益25年美債,otc,0,0,90,0,0,0,0,0,0,TPEx
2026-02-05,00768B,復華20年美債,otc,0,0,4,0,0,0,0,0,0,TPEx
2026-02-05,00772B,中信高評級公司債,otc,1,0,2136,1,0,0,0,0,0,TPEx
2026-02-05,00773B,中信優先金融債,otc,0,0,307,0,0,0,0,0,0,TPEx
2026-02-05,00777B,凱基AAA至A公司債,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-02-05,00778B,凱基金融債20+,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-02-05,00779B,凱基美債25+,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-02-05,00780B,國泰A級金融債,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-02-05,00781B,國泰A級科技債,otc,0,0,18,0,0,0,0,0,0,TPEx
2026-02-05,00782B,國泰A級公用債,otc,4,0,25,4,0,0,0,0,0,TPEx
2026-02-05,00785B,富邦金融投等債,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-02-05,00786B,元大10年IG銀行債,otc,0,0,15,0,0,0,0,0,0,TPEx
2026-02-05,00787B,元大10年IG醫療債,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-02-05,00788B,元大10年IG電能債,otc,0,0,35,0,0,0,0,0,0,TPEx
2026-02-05,00789B,復華公司債A3,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-02-05,00791B,復華信用債1-5,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-02-05,00792B,群益A級公司債,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-02-05,00793B,群益AAA-A醫療債,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-02-05,00795B,中信美國公債20年,otc,2,12,4747,-10,0,0,0,0,0,TPEx
2026-02-05,00799B,國泰A級醫療債,otc,0,2,18,-2,0,0,0,0,0,TPEx
2026-02-05,00834B,第一金金融債10+,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-02-05,00836B,永豐10年A公司債,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-02-05,00840B,凱基IG精選15+,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-02-05,00841B,凱基AAA-AA公司債,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-02-05,00842B,台新美元銀行債,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-02-05,00844B,新光15年IG金融債,otc,0,0,1,0,0,0,0,0,0,TPEx
2026-02-05,00845B,富邦新興投等債,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-02-05,00846B,富邦歐洲銀行債,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-02-05,00847B,中信美國市政債,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-02-05,00848B,中信新興亞洲債,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-02-05,00849B,中信EM主權債0-5,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-02-05,00853B,統一美債10年Aa-A,otc,0,0,5,0,0,0,0,0,0,TPEx
